"primaryName","startYear","weightedRating","fileName"
"Alan J.W. Bell","1981",8.4,"Alan_J.W._Bell"
"Alan J.W. Bell","1982",8.06917293233083,"Alan_J.W._Bell"
"Alan J.W. Bell","1984",8.11724137931034,"Alan_J.W._Bell"
"Alan J.W. Bell","1985",7.7848,"Alan_J.W._Bell"
"Alan J.W. Bell","1986",8.13,"Alan_J.W._Bell"
"Alan J.W. Bell","1987",7.76895238095238,"Alan_J.W._Bell"
"Alan J.W. Bell","1988",7.84806201550388,"Alan_J.W._Bell"
"Alan J.W. Bell","1989",7.738127090301,"Alan_J.W._Bell"
"Alan J.W. Bell","1990",7.95364705882353,"Alan_J.W._Bell"
"Alan J.W. Bell","1991",7.77964601769912,"Alan_J.W._Bell"
"Alan J.W. Bell","1992",7.56114457831325,"Alan_J.W._Bell"
"Alan J.W. Bell","1993",7.5852233676976,"Alan_J.W._Bell"
"Alan J.W. Bell","1995",7.60403726708075,"Alan_J.W._Bell"
"Alan J.W. Bell","1996",7.7,"Alan_J.W._Bell"
"Alan J.W. Bell","1997",7.49861591695502,"Alan_J.W._Bell"
"Alan J.W. Bell","1998",7.24329896907217,"Alan_J.W._Bell"
"Alan J.W. Bell","1999",7.37540983606557,"Alan_J.W._Bell"
"Alan J.W. Bell","2000",7.92458100558659,"Alan_J.W._Bell"
"Alan J.W. Bell","2001",7.216796875,"Alan_J.W._Bell"
"Alan J.W. Bell","2002",7.24396887159533,"Alan_J.W._Bell"
"Alan J.W. Bell","2003",7.23703703703704,"Alan_J.W._Bell"
"Alan J.W. Bell","2004",7.22585669781931,"Alan_J.W._Bell"
"Alan J.W. Bell","2005",7.24884615384615,"Alan_J.W._Bell"
"Alan J.W. Bell","2006",7.265625,"Alan_J.W._Bell"
"Alan J.W. Bell","2007",7.24756097560976,"Alan_J.W._Bell"
"Alan J.W. Bell","2008",7.39944444444444,"Alan_J.W._Bell"
"Alan J.W. Bell","2009",6.32685950413223,"Alan_J.W._Bell"
"Alan J.W. Bell","2010",6.98030303030303,"Alan_J.W._Bell"
