"primaryName","startYear","weightedRating","fileName"
"Tyler Perry","2002",4.6,"Tyler_Perry"
"Tyler Perry","2003",4.4,"Tyler_Perry"
"Tyler Perry","2004",3.5,"Tyler_Perry"
"Tyler Perry","2006",5.25745597169884,"Tyler_Perry"
"Tyler Perry","2007",5.86289925078864,"Tyler_Perry"
"Tyler Perry","2008",5.14780756877531,"Tyler_Perry"
"Tyler Perry","2009",4.59839260598754,"Tyler_Perry"
"Tyler Perry","2010",4.71107890800299,"Tyler_Perry"
"Tyler Perry","2011",4.0328125,"Tyler_Perry"
"Tyler Perry","2012",4.97709895399426,"Tyler_Perry"
"Tyler Perry","2013",6.24163900944601,"Tyler_Perry"
"Tyler Perry","2014",5.56291165390691,"Tyler_Perry"
"Tyler Perry","2015",7.4307486631016,"Tyler_Perry"
"Tyler Perry","2016",4.68106390490761,"Tyler_Perry"
"Tyler Perry","2017",8.25470085470086,"Tyler_Perry"
"Tyler Perry","2018",5.92839362568338,"Tyler_Perry"
"Tyler Perry","2019",4.72420962688693,"Tyler_Perry"
"Tyler Perry","2020",5.93436410873836,"Tyler_Perry"
"Tyler Perry","2021",7.20084269662921,"Tyler_Perry"
